p_request,window,r_response,failure_probability
0.10999999999999999,6,0.05,1.8648008787574456e-06
0.10999999999999999,7,0.05,2.0512811368559635e-07
0.10999999999999999,8,0.05,2.256409271138517e-08
0.10999999999999999,9,0.05,2.4820502007446005e-09
0.10999999999999999,10,0.05,2.73025522112062e-10
0.11499999999999999,1,0.05,0.12032435260266805
0.11499999999999999,2,0.05,0.013911369586169623
0.11499999999999999,3,0.05,0.001600792915477614
0.11499999999999999,4,0.05,0.0001841042263187237
0.11499999999999999,5,0.05,2.1172158508014104e-05
0.11499999999999999,6,0.05,2.434800509508339e-06
0.11499999999999999,7,0.05,2.8000208876086235e-07
0.11499999999999999,8,0.05,3.220024060646313e-08
0.11499999999999999,9,0.05,3.7030276750195577e-09
0.11499999999999999,10,0.05,4.2584818269702817e-10
0.11999999999999998,1,0.05,0.12552301255230125
0.11999999999999998,2,0.05,0.015146415348367548
0.11999999999999998,3,0.05,0.001818781954988514
0.11999999999999998,4,0.05,0.00021827130206646323
0.11999999999999998,5,0.05,2.6192807802059188e-05
0.11999999999999998,6,0.05,3.14314055866487e-06
0.11999999999999998,7,0.05,3.771769192026675e-07
0.11999999999999998,8,0.05,4.526123105546573e-08
0.11999999999999998,9,0.05,5.4313477374723835e-09
0.11999999999999998,10,0.05,6.517617286524436e-10
0.12499999999999999,1,0.05,0.13071895424836602
0.12499999999999999,2,0.05,0.016433853738701723
0.12499999999999999,3,0.05,0.002055709733785589
0.12499999999999999,4,0.05,0.00025698682942499186
0.12499999999999999,5,0.05,3.212371485063274e-05
0.12499999999999999,6,0.05,4.0154699997209225e-06
0.12499999999999999,7,0.05,5.01933838143252e-07
0.12499999999999999,8,0.05,6.274173114569015e-08
0.12499999999999999,9,0.05,7.84271641473914e-09
0.12499999999999999,10,0.05,9.803395521787652e-10
0.12999999999999998,1,0.05,0.13591217982226866
0.12999999999999998,2,0.05,0.0177736644773859
0.12999999999999998,3,0.05,0.0023123641966242103
0.12999999999999998,4,0.05,0.0003006375860473182
0.12999999999999998,5,0.05,3.9083397308463986e-05
0.12999999999999998,6,0.05,5.080850288195053e-06
0.12999999999999998,7,0.05,6.605106834494382e-07
0.12999999999999998,8,0.05,8.586639131555855e-08
0.12999999999999998,9,0.05,1.1162630912717135e-08
0.12999999999999998,10,0.05,1.4511420193578648e-09
0.13499999999999998,1,0.05,0.14110269140318785
0.13499999999999998,2,0.05,0.01916582646382614
0.13499999999999998,3,0.05,0.0025895330935534174
0.13499999999999998,4,0.05,0.0003496261248139012
0.13499999999999998,5,0.05,4.720024058028575e-05
0.13499999999999998,6,0.05,6.372045486298533e-06
0.13499999999999998,7,0.05,8.602263777209214e-07
0.13499999999999998,8,0.05,1.1613056531293773e-07
0.13499999999999998,9,0.05,1.5677626395989775e-08
0.13499999999999998,10,0.05,2.116479564893714e-09
0.13999999999999999,1,0.05,0.14629049111807732
0.13999999999999999,2,0.05,0.020610317777450628
0.13999999999999999,3,0.05,0.002888003964059085
0.13999999999999999,4,0.05,0.00040437077141707625
0.13999999999999999,5,0.05,5.661289238014612e-05
0.13999999999999999,6,0.05,7.92582422748532e-06
0.13999999999999999,7,0.05,1.1096157700165853e-06
0.13999999999999999,8,0.05,1.5534621521443018e-07
